profile,category_id,category_title,posts_count,likes_avg,likes_lift,views_avg,views_lift,action,top_like_url,top_view_url
kaskad,appointments,Запись / приём / врачи,86,187.34,0.87,14959.35,1.08,do_more,https://www.instagram.com/p/DKb9H3CIRn5/,https://www.instagram.com/p/DGx3f-lN7kl/
kravira,appointments,Запись / приём / врачи,86,74.14,0.12,1925.95,0.1,do_more,https://www.instagram.com/p/DQMOudODJlB/,https://www.instagram.com/p/DQMOudODJlB/
lode.med,appointments,Запись / приём / врачи,21,169.43,0.37,14275.33,0.78,do_more,https://www.instagram.com/p/DFU1pTzOiV4/,https://www.instagram.com/p/DQcBtH6jCcM/
mercimed.by,appointments,Запись / приём / врачи,49,352.8,1.11,43110.35,1.25,do_more,https://www.instagram.com/p/DJl8oJbthRR/,https://www.instagram.com/p/DJl8oJbthRR/
nordin.medcentr,appointments,Запись / приём / врачи,30,58.3,1.05,1013.48,0.01,do_more,https://www.instagram.com/p/DL0Wh6stxA9/,https://www.instagram.com/p/DFw14jINiHZ/
