profile,profile_url,items_total,posts_count,reels_count,likes_sum,likes_avg_per_item,comments_sum,comments_avg_per_item,views_sum,views_avg_per_viewed_item,top_post_by_likes_url,top_post_by_likes,top_by_views_url,top_by_views
lode.med,https://www.instagram.com/lode.med/,2,2,0,361,180.5,5,2.5,14535,14535.0,https://www.instagram.com/p/DTkP6BZDE04/,261,https://www.instagram.com/p/DTR5kfFDTH-/,14535
nordin.medcentr,https://www.instagram.com/nordin.medcentr/,1,1,0,40,40.0,3,3.0,433,433.0,https://www.instagram.com/p/DTQV9GbCInD/,40,https://www.instagram.com/p/DTQV9GbCInD/,433
mercimed.by,https://www.instagram.com/mercimed.by/,4,4,0,1284,321.0,156,39.0,10830,5415.0,https://www.instagram.com/p/DT7gB_lDZP3/,734,https://www.instagram.com/p/DT7gB_lDZP3/,7320
kravira.by,https://www.instagram.com/kravira.by/,7,7,0,198,28.29,4,0.57,5427,1085.4,https://www.instagram.com/p/DTsf0FVDOiX/,38,https://www.instagram.com/p/DTsf0FVDOiX/,1790
kaskadclinica,https://www.instagram.com/kaskadclinica/,3,3,0,102,34.0,0,0.0,476,476.0,https://www.instagram.com/p/DTr16AQCEHq/,54,https://www.instagram.com/p/DTkFpanCO1q/,476
proud_clinic,https://www.instagram.com/proud_clinic/,12,12,0,250,20.83,114,9.5,30150,3768.75,https://www.instagram.com/p/DTrjFycDJtb/,71,https://www.instagram.com/p/DTMzRURDfQK/,6975
sante.by,https://www.instagram.com/sante.by/,4,4,0,0,0.0,6,1.5,1954,1954.0,https://www.instagram.com/p/DTM1V-ZiFt6/,-1,https://www.instagram.com/p/DTPg6mFCCBK/,1954
