category_id,category_title,posts_count,profiles_count,likes_sum,likes_avg,views_sum,views_avg
appointments,Запись / приём / врачи,85,5,15044,176.99,783941,15678.82
promo,Акции / скидки / услуги,16,4,6581,411.31,125586,62793.0
lab,Анализы / лаборатория,9,4,2764,307.11,3442889,1147629.67
education,Просвещение / советы,6,3,658,109.67,34552,8638.0
women,Женское здоровье / гинекология,6,4,1284,214.0,80346,16069.2
kids,Дети / педиатрия,5,4,842,168.4,1564,1564.0
