theme,leader_profile,leader_n,leader_views_median,leader_likes_median,baseline_profile,baseline_n,baseline_views_median,baseline_likes_median,leader_examples
Отзывы / доверие,lode.med,2,14535.0,180.5,kravira.by,7,1029.0,27.0,https://www.instagram.com/p/DTR5kfFDTH-/; https://www.instagram.com/p/DTkP6BZDE04/
Врач / экспертность,lode.med,2,14535.0,180.5,kravira.by,7,1029.0,27.0,https://www.instagram.com/p/DTR5kfFDTH-/; https://www.instagram.com/p/DTkP6BZDE04/
Разбор случая,lode.med,2,14535.0,180.5,kravira.by,7,1029.0,27.0,https://www.instagram.com/p/DTR5kfFDTH-/; https://www.instagram.com/p/DTkP6BZDE04/
Процедура: как проходит,lode.med,2,14535.0,180.5,kravira.by,7,1029.0,27.0,https://www.instagram.com/p/DTR5kfFDTH-/; https://www.instagram.com/p/DTkP6BZDE04/
Цены / прозрачность,lode.med,2,14535.0,180.5,kravira.by,7,1029.0,27.0,https://www.instagram.com/p/DTR5kfFDTH-/; https://www.instagram.com/p/DTkP6BZDE04/
Оборудование / технологии,lode.med,2,14535.0,180.5,kravira.by,7,1029.0,27.0,https://www.instagram.com/p/DTR5kfFDTH-/; https://www.instagram.com/p/DTkP6BZDE04/
Команда / закулисье,lode.med,2,14535.0,180.5,kravira.by,7,1029.0,27.0,https://www.instagram.com/p/DTR5kfFDTH-/; https://www.instagram.com/p/DTkP6BZDE04/
Профилактика / полезное,lode.med,2,14535.0,180.5,kravira.by,7,1029.0,27.0,https://www.instagram.com/p/DTR5kfFDTH-/; https://www.instagram.com/p/DTkP6BZDE04/
