profile,profile_url,items_total,posts_count,reels_count,likes_sum,likes_avg_per_item,comments_sum,comments_avg_per_item,views_sum,views_avg_per_viewed_item,top_post_by_likes_url,top_post_by_likes,top_by_views_url,top_by_views
lode.med,https://www.instagram.com/lode.med/,43,43,0,19513,453.79,377,8.77,388078,18479.9,https://www.instagram.com/p/DPyHU4TDMF-/,12123,https://www.instagram.com/p/DIBG7epNXb8/,124668
nordin.medcentr,https://www.instagram.com/nordin.medcentr/,46,46,0,2565,55.76,2293,49.85,3483483,89320.08,https://www.instagram.com/p/DSR2AwzDGCz/,115,https://www.instagram.com/p/DOJBoteCCfd/,3439362
mercimed.by,https://www.instagram.com/mercimed.by/,71,71,0,22572,317.92,6149,86.61,1607044,34935.74,https://www.instagram.com/p/DJl8oJbthRR/,3059,https://www.instagram.com/p/DJl8oJbthRR/,427076
kravira.by,https://www.instagram.com/kravira.by/,143,143,0,84922,593.86,940,6.57,1969300,20094.9,https://www.instagram.com/p/DHTixjhtXS8/,74952,https://www.instagram.com/p/DHTixjhtXS8/,1771507
kaskadclinica,https://www.instagram.com/kaskadclinica/,105,105,0,22710,216.29,319,3.04,556015,13900.38,https://www.instagram.com/p/DLhy_AzoSWp/,2452,https://www.instagram.com/p/DGx3f-lN7kl/,82295
proud_clinic,https://www.instagram.com/proud_clinic/,196,196,0,6101,31.13,3464,17.67,859347,8593.47,https://www.instagram.com/p/DK9NVu9oHQw/,927,https://www.instagram.com/p/DNpU7SHoxWG/,171810
sante.by,https://www.instagram.com/sante.by/,79,79,0,181,2.29,124,1.57,31533,1576.65,https://www.instagram.com/p/DScD8gfCWHC/,50,https://www.instagram.com/p/DH6DQB8Mc9d/,9859
